time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-04T00:25:10.097Z,-6.8228,130.3742,113.513,5.2,mww,101,31,2.333,0.55,us,us7000k66c,2023-06-05T00:28:19.903Z,"294 km WSW of Tual, Indonesia",earthquake,7.7,5.352,0.093,11,reviewed,us,us
2023-06-04T00:20:54.829Z,39.6129,-119.9698,7.1,2.9,ml,35,67.68,0.009,0.1645,nn,nn00860806,2023-06-04T12:43:18.832Z,"7 km S of Cold Springs, Nevada",earthquake,,0.7,0.27,7,reviewed,nn,nn
2023-06-03T23:53:59.080Z,-25.446,-179.4489,466.069,4.4,mb,27,104,4.037,0.37,us,us7000k667,2023-06-04T00:13:14.040Z,"south of the Fiji Islands",earthquake,15.94,9.197,0.117,21,reviewed,us,us
2023-06-03T23:01:48.667Z,-18.3443,168.063,35,4.8,mb,30,72,4.185,0.6,us,us7000k664,2023-06-03T23:39:31.536Z,"Vanuatu",earthquake,9.24,1.931,0.096,33,reviewed,us,us
2023-06-03T22:49:25.687Z,53.566,-163.3437,22.749,4.6,mb,93,167,1.235,0.83,us,us7000k661,2023-06-04T17:14:19.124Z,"143 km S of False Pass, Alaska",earthquake,5.52,2.473,0.051,118,reviewed,us,us
2023-06-03T22:39:43.590Z,15.8869,144.8829,10,4.9,mb,61,66,1.084,0.41,us,us7000k65z,2023-06-03T23:18:17.040Z,"119 km NW of Saipan, Northern Mariana Islands",earthquake,8.13,1.866,0.065,75,reviewed,us,us
2023-06-03T22:36:17.070Z,19.421,-155.225333333333,1.45,2.59,ml,41,65,,0.11,hv,hv73438587,2023-06-04T00:19:08.040Z,"2 km SSE of Volcano, Hawaii",earthquake,0.17,0.21,0.23274386471494,29,reviewed,hv,hv
2023-06-03T22:20:49.280Z,63.4856,-148.9522,1.1,2.5,ml,,,,0.63,ak,ak023731zdhc,2023-06-03T22:41:05.040Z,"10 km N of Cantwell, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-06-03T21:49:32.862Z,-18.0152,-178.4372,584.749,4.4,mb,77,42,3.353,0.6,us,us7000k65n,2023-06-03T22:28:06.040Z,"237 km E of Levuka, Fiji",earthquake,11.77,2.906,0.032,276,reviewed,us,us
2023-06-03T20:42:40.664Z,53.4781,-163.1207,10,3.9,mb,19,215,1.392,0.55,us,us7000k65i,2023-06-04T17:09:43.697Z,"154 km S of False Pass, Alaska",earthquake,5.63,1.945,0.121,18,reviewed,us,us
2023-06-03T20:18:10.108Z,67.3698,-163.907,0,2.8,ml,,,,0.93,ak,ak023730rzte,2023-06-03T20:36:36.040Z,"46 km WSW of Noatak, Alaska",earthquake,,1,,,automatic,ak,ak
2023-06-03T19:41:26.096Z,64.9137,-151.019,16.1,2.8,ml,,,,0.52,ak,ak023730biwx,2023-06-03T20:08:50.177Z,"20 km WSW of Manley Hot Springs, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-06-03T19:22:07.213Z,-14.9753,166.8443,35,4.6,mb,42,61,6.057,0.64,us,us7000k659,2023-06-03T20:01:02.040Z,"25 km WNW of Port-Olry, Vanuatu",earthquake,7.11,1.826,0.074,55,reviewed,us,us
2023-06-03T18:48:12.967Z,31.655,-104.549,9.24,2.5,ml,28,85,0.043,0.87,us,us7000k651,2023-06-03T20:46:36.040Z,"59 km SSW of Whites City, New Mexico",earthquake,1.45,5.185,0.062,80,reviewed,us,us
2023-06-03T17:38:32.003Z,61.0901,-147.3699,27.5,3.1,ml,,,,0.23,ak,ak02372z410g,2023-06-03T20:36:24.040Z,"45 km WNW of Tatitlek, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-06-03T17:30:18.496Z,67.1926,-143.1492,1.4,2.5,ml,,,,0.48,ak,ak02372z2a9y,2023-06-03T19:16:19.040Z,"65 km NNE of Chalkyitsik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2023-06-03T17:06:26.780Z,-6.3836,130.2352,131.095,4.7,mb,74,90,1.878,0.95,us,us7000k64k,2023-06-03T17:23:20.040Z,"Banda Sea",earthquake,7.99,5.157,0.068,72,reviewed,us,us
2023-06-03T17:02:59.940Z,37.4553333333333,-87.6411666666667,16.15,2.52,md,18,50,0.2815,0.32,nm,nm60527471,2023-06-04T15:42:16.108Z,"7 km N of Nebo, Kentucky",earthquake,0.59,0.89,0.205948347099042,13,reviewed,nm,nm
2023-06-03T16:15:18.690Z,36.2541666666667,-89.4455,7.12,2.77,md,52,50,0.03136,0.19,nm,nm60527461,2023-06-03T16:55:34.809Z,"southeastern Missouri",earthquake,0.23,0.53,0.092664444797419,43,reviewed,nm,nm
2023-06-03T15:41:19.160Z,18.0311666666667,-66.849,15.66,2.53,md,9,121,0.0628,0.13,pr,pr71412233,2023-06-03T16:09:28.100Z,"0 km SSE of Yauco, Puerto Rico",earthquake,0.46,0.99,0.131994111306168,6,reviewed,pr,pr
2023-06-03T15:37:21.710Z,53.5001,-163.2189,25.6,3.6,ml,,,,0.85,ak,ak02372xwxf8,2023-06-03T18:53:24.043Z,"151 km S of False Pass, Alaska",earthquake,,3.2,,,reviewed,ak,ak
2023-06-03T15:24:59.464Z,53.4936,-163.2118,18.161,4.8,mb,89,109,1.341,1.05,us,us7000k642,2023-06-03T18:49:32.689Z,"152 km S of False Pass, Alaska",earthquake,7.2,4.765,0.061,83,reviewed,us,us
2023-06-03T15:23:56.830Z,41.1803333,-111.2471667,11.28,2.52,ml,26,71,0.1367,0.12,uu,uu60541576,2023-06-03T23:28:18.270Z,"",earthquake,0.39,0.68,0.185,17,reviewed,uu,uu
2023-06-03T15:07:28.852Z,39.4142,37.1015,10,4.1,mb,40,39,1.027,1.05,us,us7000k63z,2023-06-03T20:06:49.040Z,"Central Turkey",earthquake,1.87,1.936,0.262,4,reviewed,us,us
2023-06-03T14:12:56.326Z,-18.3122,-71.4318,28.589,4.3,mwr,24,171,1.037,0.89,us,us7000k63q,2023-06-03T15:18:34.040Z,"Off the coast of Tarapaca, Chile",earthquake,8.19,7.911,0.073,18,reviewed,us,us
2023-06-03T14:10:35.509Z,12.4555,48.2166,10,4.8,mb,98,80,5.334,0.95,us,us7000k63r,2023-06-03T14:29:16.040Z,"143 km N of Las Khorey, Somalia",earthquake,8.23,1.858,0.059,88,reviewed,us,us
2023-06-03T13:58:03.642Z,12.5705,48.095,10,5.4,mww,87,40,5.237,0.7,us,us7000k63p,2023-06-03T17:29:22.287Z,"156 km N of Las Khorey, Somalia",earthquake,9.8,1.859,0.093,11,reviewed,us,us
2023-06-03T12:09:59.980Z,38.8173333,-122.7615,1.85,2.55,md,93,35,0.01467,0.07,nc,nc73895916,2023-06-05T06:49:10.413Z,"3km W of Cobb, CA",earthquake,0.1,0.13,0.284,87,reviewed,nc,nc
2023-06-03T12:02:39.800Z,38.8001667,-122.7725,0.81,2.94,md,58,37,0.01,0.05,nc,nc73895821,2023-06-03T21:17:12.561Z,"3km NNW of The Geysers, CA",earthquake,0.1,0.16,0.301,32,reviewed,nc,nc
2023-06-03T12:01:18.960Z,38.7921667,-122.7785,3.83,4.45,mw,106,25,0.007429,0.06,nc,nc73895826,2023-06-05T03:33:24.192Z,"2km NW of The Geysers, CA",earthquake,0.1,0.15,,4,reviewed,nc,nc
2023-06-03T10:57:34.516Z,18.3398,145.8466,104.23,4.6,mb,42,127,3.082,0.4,us,us7000k62u,2023-06-03T11:31:55.040Z,"Pagan region, Northern Mariana Islands",earthquake,11.1,8,0.041,174,reviewed,us,us
2023-06-03T10:56:48.250Z,35.119,-97.57616667,6.64,2.54,ml,95,33,0.0638874631,0.2,ok,ok2023kujq,2023-06-03T23:28:17.798Z,"1 km N of Cole, Oklahoma",earthquake,,0.3,0.22,42,reviewed,ok,ok
2023-06-03T10:53:54.435Z,12.5855,48.0637,10,4.4,mb,32,198,5.21,0.63,us,us7000k62t,2023-06-03T11:58:53.040Z,"Gulf of Aden",earthquake,7.44,2.004,0.107,25,reviewed,us,us
2023-06-03T10:49:40.586Z,31.73698065,-104.1075344,7.468383789,2.6,ml,17,38,0.04114320512,0.1,tx,tx2023kujk,2023-06-05T09:40:12.424Z,"48 km W of Mentone, Texas",earthquake,0.5659862527,0.7955167968,0.1,18,reviewed,tx,tx
2023-06-03T10:45:28.893Z,12.4324,48.0454,10,4.5,mb,24,146,5.165,0.42,us,us7000k62r,2023-06-03T11:51:06.040Z,"141 km N of Las Khorey, Somalia",earthquake,7.43,1.954,0.151,14,reviewed,us,us
2023-06-03T10:35:41.030Z,41.9659,142.5958,62.132,4.9,mb,87,105,0.421,0.69,us,us7000k62j,2023-06-03T21:54:53.297Z,"26 km SW of Urakawa, Japan",earthquake,6.18,6.477,0.025,519,reviewed,us,us
2023-06-03T10:32:07.075Z,12.5533,48.0454,10,4.9,mb,53,83,5.186,0.37,us,us7000k62k,2023-06-03T10:59:32.040Z,"155 km N of Las Khorey, Somalia",earthquake,7.22,1.862,0.077,53,reviewed,us,us
2023-06-03T10:15:55.014Z,12.4187,47.9816,10,4.9,mb,40,78,5.101,0.32,us,us7000k62h,2023-06-03T10:38:56.040Z,"141 km N of Las Khorey, Somalia",earthquake,7.07,1.928,0.095,35,reviewed,us,us
2023-06-03T10:13:16.670Z,19.3936672210693,-155.274169921875,1.37000000476837,2.58,ml,39,49,,0.200000003,hv,hv73437797,2023-06-03T10:30:02.040Z,"6 km SW of Volcano, Hawaii",earthquake,0.24,0.200000003,2.06,24,automatic,hv,hv
2023-06-03T10:08:33.481Z,-20.6574,-68.9661,135.688,5,mww,28,56,1.007,1.01,us,us7000k62d,2023-06-03T17:06:18.752Z,"80 km ESE of La Tirana, Chile",earthquake,5.89,7.351,0.08,15,reviewed,us,us
2023-06-03T09:43:36.492Z,12.8129,47.8315,10,4.6,mb,50,80,5.038,0.65,us,us7000k62c,2023-06-03T10:11:53.040Z,"187 km NNW of Las Khorey, Somalia",earthquake,12.66,1.922,0.084,42,reviewed,us,us
2023-06-03T09:23:56.093Z,37.5315,56.7631,10,4.1,mb,26,172,1.145,0.64,us,us7000k625,2023-06-03T09:48:28.040Z,"",earthquake,7.65,1.965,0.131,16,reviewed,us,us
2023-06-03T08:56:03.638Z,12.5741,47.9512,10,4.5,mb,36,131,5.1,0.43,us,us7000k622,2023-06-03T09:19:56.040Z,"",earthquake,12.29,1.937,0.104,27,reviewed,us,us
2023-06-03T08:39:50.959Z,6.4291,124.7513,10.383,4.6,mb,47,88,1.04,0.62,us,us7000k61z,2023-06-03T13:05:59.225Z,"",earthquake,6.01,3.498,0.092,35,reviewed,us,us
2023-06-03T08:31:32.310Z,17.9586666666667,-66.7651666666667,16.79,2.57,md,7,217,0.1098,0.12,pr,pr71412198,2023-06-03T08:43:00.390Z,"Puerto Rico region",earthquake,0.74,0.66,0.125528114140721,7,reviewed,pr,pr
2023-06-03T08:21:52.281Z,26.9494,-111.4844,10,4.1,mb,52,142,0.769,0.56,us,us7000k61s,2023-06-03T09:08:11.040Z,"Baja California Sur, Mexico",earthquake,5.43,1.949,0.072,53,reviewed,us,us
2023-06-03T07:48:45.429Z,36.8392,61.6096,9.981,4.5,mb,66,153,2.987,0.68,us,us7000k61n,2023-06-03T08:07:58.040Z,"51 km NE of Sarakhs, Iran",earthquake,8.66,4.321,0.069,62,reviewed,us,us
2023-06-03T07:25:00.460Z,35.6436667,-118.3203333,5.23,2.68,ml,34,64,0.0574,0.2,ci,ci40476760,2023-06-03T15:54:50.381Z,"14km ENE of Lake Isabella, CA",earthquake,0.25,1.03,0.222,26,automatic,ci,ci
2023-06-03T07:17:46.124Z,12.6146,48.1755,10,5.9,mww,145,29,5.323,0.51,us,us7000k61e,2023-06-03T17:17:10.070Z,"160 km N of Las Khorey, Somalia",earthquake,9.11,1.848,0.054,33,reviewed,us,us
2023-06-03T07:17:42.750Z,-16.0394,-71.9904,10,4.7,mb,66,130,2.803,0.84,us,us7000k61d,2023-06-03T08:02:19.040Z,"3 km SE of Lluta, Peru",earthquake,7.45,1.848,0.062,79,reviewed,us,us
2023-06-03T07:06:54.298Z,41.4054,-106.7699,10.496,3.2,ml,35,60,0.806,0.68,us,us7000k619,2023-06-04T00:37:49.234Z,"6 km SSE of Saratoga, Wyoming",earthquake,3.55,8.516,0.036,102,reviewed,us,us
2023-06-03T07:04:25.916Z,12.402,48.1452,10,4.8,mb,90,80,5.257,0.4,us,us7000k61b,2023-06-03T07:23:09.040Z,"137 km N of Las Khorey, Somalia",earthquake,10.58,1.879,0.063,77,reviewed,us,us
